_article_id,citation_contexts/citation_context/0/raw_citance,citation_contexts/citation_context/0/ctx_ref/0/_cit_str_original,citation_end,citation_contexts/citation_context/0/ctx_ref/0/_function,citation_contexts/citation_context/0/ctx_ref/0/_function_originally_annotated,citation_contexts/citation_context/0/ctx_ref/0/_polarity,citation_contexts_ref_id,citation_contexts/citation_context/0/ctx_ref/0/_reliable,citation_contexts_start,citation_contexts/citation_context/0/ctx_ref/0/_target,citation_contexts/citation_context/0/ctx_ref/0/_type,citation_contexts/citation_context/0/ctx_ref/0/__text,citation_contexts/citation_context/0/ctx_s/0/_ctx_id,citation_contexts/citation_context/0/ctx_s/0/_ctx_s_id,citation_contexts/citation_context/0/ctx_s/0/_s_id,citation_contexts/citation_context/0/ctx_s/0/_useful,citation_contexts/citation_context/0/ctx_s/0/__text,citation_contexts/citation_context/0/ctx_s/1/_ctx_id,citation_contexts/citation_context/0/ctx_s/1/_ctx_s_id,citation_contexts/citation_context/0/ctx_s/1/_s_id,citation_contexts/citation_context/0/ctx_s/1/_useful,citation_contexts/citation_context/0/ctx_s/1/__text,citation_contexts/citation_context/0/ctx_s/2/_ctx_id,citation_contexts/citation_context/0/ctx_s/2/_ctx_s_id,citation_contexts/citation_context/0/ctx_s/2/_s_id,citation_contexts/citation_context/0/ctx_s/2/_useful,citation_contexts/citation_context/0/ctx_s/2/__text,citation_contexts/citation_context/0/ctx_s/3/_ctx_id,citation_contexts/citation_context/0/ctx_s/3/_ctx_s_id,citation_contexts/citation_context/0/ctx_s/3/_s_id,citation_contexts/citation_context/0/ctx_s/3/_useful,citation_contexts/citation_context/0/ctx_s/3/__text,citation_contexts/citation_context/0/ctx_s/4/_ctx_id,citation_contexts/citation_context/0/ctx_s/4/_ctx_s_id,citation_contexts/citation_context/0/ctx_s/4/_s_id,citation_contexts/citation_context/0/ctx_s/4/_useful,citation_contexts/citation_context/0/ctx_s/4/__text,citation_contexts/citation_context/0/ctx_s/5/_ctx_id,citation_contexts/citation_context/0/ctx_s/5/_ctx_s_id,citation_contexts/citation_context/0/ctx_s/5/_s_id,citation_contexts/citation_context/0/ctx_s/5/_useful,citation_contexts/citation_context/0/ctx_s/5/__text,citation_contexts/citation_context/0/_mapped,citation_contexts/citation_context/0/_ref_ids,citation_contexts/citation_context/0/_reliable,citation_contexts/citation_context/0/_s_id,citation_contexts/citation_context/0/_section_header,citation_contexts/citation_context/0/_section_number,citation_contexts/citation_context/1/raw_citance,citation_contexts/citation_context/1/ctx_ref/0/_cit_str_original,citation_contexts/citation_context/1/ctx_ref/0/_end,citation_contexts/citation_context/1/ctx_ref/0/_function,citation_contexts/citation_context/1/ctx_ref/0/_function_originally_annotated,citation_contexts/citation_context/1/ctx_ref/0/_polarity,citation_contexts/citation_context/1/ctx_ref/0/_ref_id,citation_contexts/citation_context/1/ctx_ref/0/_reliable,citation_contexts/citation_context/1/ctx_ref/0/_start,citation_contexts/citation_context/1/ctx_ref/0/_target,citation_contexts/citation_context/1/ctx_ref/0/_type,citation_contexts/citation_context/1/ctx_ref/0/__text,citation_contexts/citation_context/1/ctx_s/0/_ctx_id,citation_contexts/citation_context/1/ctx_s/0/_ctx_s_id,citation_contexts/citation_context/1/ctx_s/0/_s_id,citation_contexts/citation_context/1/ctx_s/0/_useful,citation_contexts/citation_context/1/ctx_s/0/__text,citation_contexts/citation_context/1/ctx_s/1/_ctx_id,citation_contexts/citation_context/1/ctx_s/1/_ctx_s_id,citation_contexts/citation_context/1/ctx_s/1/_s_id,citation_contexts/citation_context/1/ctx_s/1/_useful,citation_contexts/citation_context/1/ctx_s/1/__text,citation_contexts/citation_context/1/ctx_s/2/_ctx_id,citation_contexts/citation_context/1/ctx_s/2/_ctx_s_id,citation_contexts/citation_context/1/ctx_s/2/_s_id,citation_contexts/citation_context/1/ctx_s/2/_useful,citation_contexts/citation_context/1/ctx_s/2/__text,citation_contexts/citation_context/1/ctx_s/3/_ctx_id,citation_contexts/citation_context/1/ctx_s/3/_ctx_s_id,citation_contexts/citation_context/1/ctx_s/3/_s_id,citation_contexts/citation_context/1/ctx_s/3/_useful,citation_contexts/citation_context/1/ctx_s/3/__text,citation_contexts/citation_context/1/ctx_s/4/_ctx_id,citation_contexts/citation_context/1/ctx_s/4/_ctx_s_id,citation_contexts/citation_context/1/ctx_s/4/_s_id,citation_contexts/citation_context/1/ctx_s/4/_useful,citation_contexts/citation_context/1/ctx_s/4/__text,citation_contexts/citation_context/1/ctx_s/5/_ctx_id,citation_contexts/citation_context/1/ctx_s/5/_ctx_s_id,citation_contexts/citation_context/1/ctx_s/5/_s_id,citation_contexts/citation_context/1/ctx_s/5/_useful,citation_contexts/citation_context/1/ctx_s/5/__text,citation_contexts/citation_context/1/_mapped,citation_contexts/citation_context/1/_ref_ids,citation_contexts/citation_context/1/_reliable,citation_contexts/citation_context/1/_s_id,citation_contexts/citation_context/1/_section_header,citation_contexts/citation_context/1/_section_number,citation_contexts/citation_context/0/ctx_ref/1/_cit_str_original,citation_contexts/citation_context/0/ctx_ref/1/_end,citation_contexts/citation_context/0/ctx_ref/1/_function,citation_contexts/citation_context/0/ctx_ref/1/_function_originally_annotated,citation_contexts/citation_context/0/ctx_ref/1/_polarity,citation_contexts/citation_context/0/ctx_ref/1/_ref_id,citation_contexts/citation_context/0/ctx_ref/1/_reliable,citation_contexts/citation_context/0/ctx_ref/1/_start,citation_contexts/citation_context/0/ctx_ref/1/_target,citation_contexts/citation_context/0/ctx_ref/1/_type,citation_contexts/citation_context/0/ctx_ref/1/__text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E95-1005,"Furthermore , it lends itself readily to an extension for the intensional verb case that has advantages over the widely-assumed account of Partee and Rooth 1983 .",Partee and Rooth 1983,13,CoCo-,CoCo-,UNK,26,TRUE,1,#b12,bibr,Partee and Rooth (1983),20,-2,189,N,The multiple use of semantic contributions results from viewing dependencies in f-structures as resources; in this way the one-to-one correspondence between f-structure relations and meanings is maintained.,20,-1,190,N,"The resulting account does not suffer from overgeneration inherent in other approaches, and applies equally to cases of resource sharing that do not involve coordination.",20,0,191,N,"Furthermore, it lends itself readily to an extension for the intensional verb case that has advantages over the widely-assumed account of Partee and Rooth (1983).",20,1,192,N,Here we have separated the issue of arriving at the appropriate f-structure in the syntax from the issue of deriving the correct semantics from the f-structure.,20,2,193,N,"We have argued that this is the correct distinction to make, and have given a treatment of the second issue.",20,3,194,N,A treatment of the first issue will be articulated in a future forum.,TRUE,26,TRUE,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E95-1024,"This indexing technique , as illustrated below , improves upon the more complex indices in Gerdemann 1991 and is closely related to OLDT-resolution Tamaki and Sato 1986 .",Gerdemann 1991,13,CoCo-,CoCo-,UNK,19,TRUE,2,#b2,bibr,Gerdemann (1991),16,-2,42,N,"The first supplies each edge in the chart with two indices, a backward index pointing to the state in the chart that the edge is predicted from, and a forward index poinfing to the states that are predicted from the edge.",16,-1,43,N,"By matching forward and backward indices, the edges that must be combined for completion can be located faster.",16,0,44,N,"This indexing technique, as illustrated below, improves upon the more complex indices in Gerdemann (1991) and is closely related to OLDT-resolution (Tamaki and Sato, 1986).",16,1,45,N,Active edge 2 resulted from active edge 1 through prediction.,16,2,46,N,The backward index of edge 2 is therefore identified with the forward index of edge,16,3,47,N,1,TRUE,"19,20",TRUE,44,Optimizations,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E95-1035,"This approach improves upon earlier work on discourse structure such as Lascarides and Asher 1991 and Kehler 1994a in reducing the number of possible ambiguities ; it is also more precise than the Kamp / Hinrichs / Partee approach in that it takes into account ways in which the apparent defaults can be overridden and differentiates between events and activities , which behave differently in narrative progression .",Kehler 1994a,13,CoCo-,CoCo-,UNK,14,FALSE,2,#b7,bibr,"(Lascarides and Asher, 1991)",10,-2,115,N,An HPSG implementation of a discourse grammar Following Scha ~ Polanyi (1988),10,-1,116,N,"To allow the above-mentioned types of information to mutually constrain each other, we employ a hierarchy of rhetorical and temporal relations (illustrated in Figure 1), using the ALE system in such a way that clues such as tense and cue words work together to reduce the number of possible temporal structures.",10,0,117,N,"This approach improves upon earlier work on discourse structure such as (Lascarides and Asher, 1991) and (Kehler, 1994) in reducing the number of possible ambiguities; it is also more precise than the Kamp/Hinrichs/Partee approach in that it takes into account ways in which the apparent defaults can be overridden and differentiates between events and activities, which behave differently in narrative progression.",10,1,118,N,"Tense, aspect, rhetorical relations and temporal expressions affect the value of the RHET..",10,2,119,N,RELN type that expresses the relationship between two I)CVs: cue words are lexic,10,3,120,N,"Mly marked according to what rhetorical relation they specify, and this rel.ation is passed on to the DCU.",TRUE,"14,15",TRUE,117,TEMP_CENTER: Used for temporal centering;,UNKNOW SECTION NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E99-1023,The IB1-IG algorithm has been able to improve the best reported F  rates for a standard data set ( 92.37 versus Ramshaw and Marcus 1995 ' s 92.03 ) .,Ramshaw and Marcus 1995,21,CoCo-,CoCo-,UNK,14,TRUE,3,#b5,bibr,"((Ramshaw and Marcus, 1995)",11,-2,117,N,"We have used the optimal experiment configurations that we had obtained from the fourth experiment series for processing the complete (Ramshaw and Marcus, 1995) data set.",11,-1,118,N,The results can be found in table 6. They are better than the results for section 15 because more training data was used in these experiments.,11,0,119,N,"Again the best result was obtained with IOB1 (F~=I =92.37) which is an im-I)rovement of the best reported F,~=1 rate for this data set ((Ramshaw and Marcus, 1995): 92.03).",11,1,120,N,"We would like to apply our learning approach to the large data set mentioned in (Ramshaw and Marcus, 1995)(Ramshaw and Marcus, 1995):",11,2,121,N,Wall Street Journal corpus sections 2-21 as training material and section 0 as test material.,11,3,122,N,With our present hardware applying our optimal experiment configuration to this data would require several months of computer time.,TRUE,14,TRUE,119,Results,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P97-1033,"Unlike other work ( e.g. 
Black et al. 1992 , 
Magerman 1995 ) , we treat the word identities as a further refinement of the POS tags ; thus we build a word classification tree for each POS tag .",Magerman 1995,21,CoCo-,CoCo-,UNK,32,TRUE,3,#b3,bibr,"(Black et al., 1992",16,-2,88,N,Figure 1 shows a POS classification tree.,16,-1,89,N,The binary encoding for a POS tag is determined by the sequence of top and bottom edges that leads from the root node to the node for the POS tag.,16,0,90,N,"Unlike other work (e.g. (Black et al., 1992; Materman, 1995)), we treat the word identities as a further refinement of the POS tags; thus we build a word classification tree for each POS tag.",16,1,91,N,"This has the advantage of avoiding unnecessary data fragmentation, since the POS tags and word identities are no longer separate sources of information.",16,2,92,N,"As well, it constrains the task of building the word classification trees since the major distinctions are captured by the POS classification tree.",,,,,,TRUE,32,TRUE,90,T editing term interruption point,UNKNOW SECTION NUMBER,"In contrast , a word-based trigram backoff model Katz 1987 built with the CMU statistical language modeling toolkit Rosenfeld 1995 achieved a perplexity of 26.13 .",Katz 1987,60,CoCo-,CoCo-,UNK,44,TRUE,48,#b15,bibr,"(Katz, 1987)",22,-2,177,N,"As can be seen, modeling the user's utterances improves POS tagging, identification of discourse markers, and word perplexity; with the POS error rate decreasing by 3.1% and perplexity by 5.3%.",22,-1,178,N,"Furthermore, adding in silence information to help detect the boundary tones and speech repairs results in a further improvement, with the overall POS tagging error rate decreasing by 8.6% and reducing perplexity by 7.8%.",22,0,179,N,"In contrast, a word-based trigram backoff model (Katz, 1987) built with the CMU statistical language modeling toolkit (Rosenfeld, 1995) achieved a perplexity of 26.13.",22,1,180,N,Thus our full language model results in 14.1% reduction in perplexity.,22,2,181,N,Table 3 gives the results of detecting intonational boundaries.,22,3,182,N,"The second column gives the results of adding the boundary tone detection to the POS model, the third column adds silence information,  Table 4: Detecting and Correcting Speech Repairs and the fourth column adds speech repair detection and correction.",TRUE,"44,45",TRUE,179,Results,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P98-1026,"Other lexicalized grammars collapse syntactic and ordering information and are forced to represent ordering alternatives by lexical ambiguity , most notable L-TAG Schabes et al. 1988 and some versions of CG Hepple 1994 .",Schabes et al. 1988,24,CoCo-,CoCo-,UNK,45,TRUE,3,#b27,bibr,"(Schabes et al., 1988)",29,-2,142,N,6 Comparison to PSG Approaches,29,-1,143,N,"One feature of word order domains is that they factor ordering alternatives from the syntactic tree, much like feature annotations do for morphological alternatives.",29,0,144,N,"Other lexicalized grammars collapse syntactic and ordering information and are forced to represent ordering alternatives by lexical ambiguity, most notable L-TAG (Schabes et al., 1988) and some versions of CG (Hepple, 1994).",29,1,145,N,"This is not necessary in our approach, which drastically reduces the search space for parsing.",29,2,146,N,"This property is shared by the proposal of Reape (1993) to associate HPSG signs with sequences of constituents, also called word order domains.",29,3,147,N,Surface ordering is determined by the sequence of constituents associated with the root node.,TRUE,"45,46",TRUE,144,The German Clause,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hepple 1994,223,CoCo-,CoCo-,UNK,46,TRUE,209,#b13,bibr,"(Hepple, 1994)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P98-1052,Our assessment is supported by comparing our results to those of Core and Allen 1997 who used the unadapted DRI manual -- see Table  .,Core and Allen 1997,24,CoCo-,CoCo-,UNK,4,TRUE,5,#b2,bibr,"(Core and Allen, 1997;",2,-2,10,N,"In order to use the core scheme, it is anticipated that each group will need to refine it for their particular purposes.",2,-1,11,N,A usable draft core scheme is now available for experimentation (see http://www.georgetown.edu/luperfoy/Discourse-Treebank/dri-home.html).,2,0,12,N,"Whereas several groups are working with the unadapted core DR/ scheme (Core and Allen, 1997;Poesio and Traum, 1997), we have attempted to adapt it to our corpus and particular research questions.",2,1,13,N,"First we describe our corpus, and the issue of tracking agreement.",2,2,14,N,Next we describe our coding scheme and our intercoder reliability outcomes.,2,3,15,N,Last we report our findings .on tracking agreement.,TRUE,"4,5",TRUE,12,Introduction,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A94-1010,"Most other work on clustering for language modeling Pereira et al. 1993 , Net et al. 1994 has addressed the problem of data sparseness by clustering words into classes which are then used to predict smoothed probabilities of occurrence for events which may seldom or never have been observed during training .",Pereira et al. 1993,24,CoCoGM,CoCoGM,UNK,6,TRUE,5,#b11,bibr,"Pereira, Tishby and Lee, 1993;",Net et al. 1994,116,CoCoGM,CoCoGM,UNK,7,TRUE,88,#b10,bibr,"Ney, Essen and Kneser, 1994)",4,0,37,N,"Most other work on clustering for language modeling (e.g. Pereira, Tishby and Lee, 1993;Ney, Essen and Kneser, 1994) has addressed the problem of data sparseness by clustering words into classes which are then used to predict smoothed probabilities of occurrence for events which may seldom or never have been observed during training.",4,1,38,N,"Thus conceptually at least, their processes are agglomerative: a large initial set of words is clumped into a smaller number of clusters.",4,2,39,N,The approach described here is quite different.,4,3,40,N,"Firstly, it involves clustering whole sentences, not words.",TRUE,"6,7",TRUE,37,Cluster-based Language Modeling,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A97-1052,"This simple automated , hybrid linguistic/statistical approach contrasts with the manual linguistic analysis of the COMLEX Syntax lexicographers Meyers et al. 1994 , who propose five criteria and five heuristics for argument-hood and six criteria and two heuristics for adjunct-hood , culled mostly from the linguistics literature .",Meyers et al. 1994,26,CoCoGM,CoCoGM,UNK,23,TRUE,5,#b22,bibr,"(Meyers et al., 1994)",,,,,,,,,,,,13,-2,90,N,• arguments of a specific verb will occur with greater frequency than adjuncts (in potential argument positions); • the patternset generator will incorrectly output patterns for certain classes more often than others; and,13,-1,91,N,"• even a highest ranked pattern for i is only a probabilistic cue for membership of i, so membership should only be inferred if there are enough occurrences of patterns for i in the data to outweigh the error probability for i.",13,0,92,N,"This simple automated, hybrid linguistic/statistical approach contrasts with the manual linguistic analysis of the COMLEX Syntax lexicographers (Meyers et al., 1994), who propose five criteria and five heuristics for argument-hood and six criteria and two heuristics for adjunct-hood, culled mostly from the linguistics literature.",13,1,93,N,"Many of these are not exploitable automatically because they rest on semantic judgements which cannot (yet) be made automatically: for example, optional arguments are often 'understood' or implied if missing.",TRUE,23,TRUE,92,Discussion,2.3,13,2,94,N,"Others are syntactic tests involving diathesis alternation possibilities (e.g. passive, dative movement, Levin (1993)) which require recognition that the 'same' argument, defined usually by semantic class / thematic role, is occurring across argument positions.",13,3,95,N,We hope to exploit this information where possible at a later stage in the development of our approach.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C92-1054,This representation of mutual belief differs from the common representation in terms of an iterated conjunction Litman and Allen 1990 in that :,Litman and Allen 1990,26,CoCoGM,CoCoGM,UNK,20,TRUE,5,,bibr,[ll],,,,,,,,,,,,14,-1,47,N,"This seems intuitively plausible and means that the strength of belief depends on the strength of underlying assumptions, and that for all inference rules that depend on multiple premises, the strength of an inferred belief is the weakest of the supporting beliefs.",14,0,48,N,This representation of mutual belief differs from the common representation in terms of an iterated eonjunction [ll] in that: (1) it relocates information from mental states to the environment in which utteranees occur; (2) it allows one to represent the different kinds of evidence for mutual belief; (3) it controls reasoning when discrepancies in mutual beliefs are discovered since evidence and assumptions can be inspected; (4) it does not consist of an infinite list of statements.,,,,,,,,,,,TRUE,20,TRUE,48,"4,))",UNKNOW SECTION NUMBER,,,,,,,,,,,"This distinguishes this account from others that assume either that utterance actions always succeed or that they succeed unless the addressee previously believed otherwise Litman and Allen 1990, Grosz and Sidner 1990 .",Grosz and Sidner 1990,180,CoCoGM,CoCoGM,UNK,21,TRUE,173,bibr,"[ll, 8]",15,-2,51,N,The key claim of this section is that agents monitor the effects of their utterance actions and that the next action by the addressee is taken as evidence of the effect of the speaker's utterance 4.,15,-1,52,N,"That the utterance will have the intended effect is only a hypothesis at the point where the utterance has just been made, irrespective of the intentions of the speaker.",15,0,53,N,"This distinguishes this account from others that assume either that utterance actions always succeed or that they succeed unless the addressee previously believed othecwise [ll, 8].",15,1,54,N,I adopt the assumption that the participants in a dialogue are trying to achieve some purpose [7].,15,2,55,N,Some aspects of the structure of dialogue arises from the structure of these purposes and their relation to one another.,15,3,56,N,"The minimal purpose of any dialogue is that an utterance be understood, and this goal is a prerequisite to achieving other goals in dialogue, such as commitment to future action.",TRUE,21,TRUE,53,Inference of Understanding,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
